offer_number,offer_date,valid_until,total_cost,status,end_user,end_user_inn,intermediary,intermediary_inn
б/н,2025-03-21,2025-06-25,3152100,sent,ФГБОУ ВО Красгму им. Проф. В.Ф. Войно-Ясенецкого Минздрава России,,ООО Экомед,
б/н,2025-03-14,2025-06-15,2612400,sent,ФБУЗ Центр Гигиены и Эпидемиологии в Республике Хакасия,,Компания МИЛЛАБ,
