offer_number,name,model,article,quantity,unit_price,total_price,vat
б/н,Амплификатор детектирующий ДТлайт,5S1,O-DTLITE-5S1,1,1656000,1159200,Без НДС
б/н,Амплификатор детектирующий ДТпрайм,5М1,O-DTPRIME5М1,1,2847000,1992900,Без НДС
б/н,Амплификатор детектирующий ДТпрайм,5М6,O-DTPRIME5М6,1,3128000,2502400,Без НДС
б/н,Ноутбук адаптированный с предустановленным специализированным программным обеспечением,,I-PC/03,1,110000,110000,20%
