city,region,region_type,federal_district,capital_marker,population,timezone,geo_lat,geo_lon
Воткинск,Удмуртская,Респ,Приволжский,0,100034,UTC+4,57.0518149,53.9873096
Глазов,Удмуртская,Респ,Приволжский,0,95835,UTC+4,58.1359233,52.6635038
Ижевск,Удмуртская,Респ,Приволжский,2,628117,UTC+4,56.852738,53.2114896
Камбарка,Удмуртская,Респ,Приволжский,1,11028,UTC+4,56.2659916,54.193374
Можга,Удмуртская,Респ,Приволжский,0,47959,UTC+4,56.4427774,52.2137886
Сарапул,Удмуртская,Респ,Приволжский,0,101390,UTC+4,56.4615767,53.8037657
Барыш,Ульяновская,обл,Приволжский,0,17149,UTC+4,53.6533992,47.1181134
Димитровград,Ульяновская,обл,Приволжский,0,122549,UTC+4,54.2167926,49.6262585
Инза,Ульяновская,обл,Приволжский,1,18547,UTC+4,53.8549647,46.3533459
Новоульяновск,Ульяновская,обл,Приволжский,0,16032,UTC+4,54.1447956,48.3910789
Сенгилей,Ульяновская,обл,Приволжский,1,6959,UTC+4,53.958964,48.7768269
Ульяновск,Ульяновская,обл,Приволжский,2,613793,UTC+4,54.3079415,48.3748487
Амурск,Хабаровский,край,Дальневосточный,0,42977,UTC+10,50.2344147,136.8792444
Бикин,Хабаровский,край,Дальневосточный,0,17156,UTC+10,46.8185743,134.2550718
Вяземский,Хабаровский,край,Дальневосточный,1,14556,UTC+10,47.5353379,134.7553856
Комсомольск-на-Амуре,Хабаровский,край,Дальневосточный,0,263906,UTC+10,50.5498936,137.0079408
Николаевск-на-Амуре,Хабаровский,край,Дальневосточный,0,22773,UTC+10,53.1460657,140.7111367
Советская Гавань,Хабаровский,край,Дальневосточный,0,27712,UTC+10,48.9664966,140.285174
Хабаровск,Хабаровский,край,Дальневосточный,2,577668,UTC+10,48.4647258,135.0598942
Абаза,Хакасия,Респ,Сибирский,0,17111,UTC+7,52.6516647,90.0885686
Абакан,Хакасия,Респ,Сибирский,2,165183,UTC+7,53.7223325,91.4436721
Саяногорск,Хакасия,Респ,Сибирский,0,49889,UTC+7,53.1008083,91.4122454
Сорск,Хакасия,Респ,Сибирский,0,12140,UTC+7,54.0002888,90.2594446
Черногорск,Хакасия,Респ,Сибирский,0,72117,UTC+7,53.8259342,91.3260229
Белоярский,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,20283,UTC+5,63.7121099,66.6772226
Когалым,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,58192,UTC+5,62.2639527,74.4829794
Лангепас,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,41675,UTC+5,61.2536939,75.1807763
Лянтор,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,38922,UTC+5,61.6392863,72.179409
Мегион,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,49471,UTC+5,61.0318712,76.1025878
Нефтеюганск,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,123276,UTC+5,61.0882676,72.6164079
Нижневартовск,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,251860,UTC+5,60.9396698,76.5696184
Нягань,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,54903,UTC+5,62.1454701,65.3946047
Покачи,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,17053,UTC+5,61.7422169,75.5941517
Пыть-Ях,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,41453,UTC+5,60.7585833,72.8365617
Радужный,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,43394,UTC+5,62.1342888,77.4584094
Советский,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,1,26434,UTC+5,61.3706913,63.5667222
Сургут,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,306703,UTC+5,61.2541083,73.3961587
Урай,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,39435,UTC+5,60.1296954,64.8038508
Ханты-Мансийск,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,2,79410,UTC+5,61.0023984,69.0184798
Югорск,Ханты-Мансийский Автономный округ - Югра,АО,Уральский,0,34066,UTC+5,61.3123568,63.3365484
Аша,Челябинская,обл,Уральский,1,31916,UTC+5,54.9906527,57.2783953
Бакал,Челябинская,обл,Уральский,0,20953,UTC+5,54.9406399,58.8051698
Верхнеуральск,Челябинская,обл,Уральский,1,9459,UTC+5,53.8760961,59.2169852
Верхний Уфалей,Челябинская,обл,Уральский,0,30504,UTC+5,56.0487158,60.2318886
Еманжелинск,Челябинская,обл,Уральский,1,30218,UTC+5,54.7554548,61.3243477
Златоуст,Челябинская,обл,Уральский,0,174985,UTC+5,55.1714905,59.6725549
Карабаш,Челябинская,обл,Уральский,0,13151,UTC+5,55.4852323,60.2358881
Карталы,Челябинская,обл,Уральский,1,29136,UTC+5,53.0536197,60.6478408
Касли,Челябинская,обл,Уральский,1,16998,UTC+5,55.8868784,60.7421663
Катав-Ивановск,Челябинская,обл,Уральский,1,17640,UTC+5,54.7521438,58.1983648
Копейск,Челябинская,обл,Уральский,0,137604,UTC+5,55.116665,61.6179185
Коркино,Челябинская,обл,Уральский,1,38950,UTC+5,54.8903147,61.4034576
Куса,Челябинская,обл,Уральский,1,18792,UTC+5,55.3386053,59.4385778
Кыштым,Челябинская,обл,Уральский,0,38950,UTC+5,55.7061276,60.5563781
Магнитогорск,Челябинская,обл,Уральский,0,408401,UTC+5,53.4072153,58.9791437
Миасс,Челябинская,обл,Уральский,0,151812,UTC+5,55.0456457,60.1077572
Миньяр,Челябинская,обл,Уральский,0,10195,UTC+5,55.0709557,57.548478
Нязепетровск,Челябинская,обл,Уральский,1,12452,UTC+5,56.0536895,59.6097202
Озерск,Челябинская,обл,Уральский,0,82268,UTC+5,55.763154,60.7076198
Пласт,Челябинская,обл,Уральский,1,17344,UTC+5,54.3692764,60.8151894
Сатка,Челябинская,обл,Уральский,1,45465,UTC+5,55.0405288,59.0288975
Сим,Челябинская,обл,Уральский,0,14465,UTC+5,54.9907827,57.6900155
Снежинск,Челябинская,обл,Уральский,0,48896,UTC+5,56.0851495,60.7324914
Трехгорный,Челябинская,обл,Уральский,0,33678,UTC+5,54.8178249,58.4464194
Троицк,Челябинская,обл,Уральский,0,78637,UTC+5,54.0843745,61.5586831
Усть-Катав,Челябинская,обл,Уральский,0,23586,UTC+5,54.9260812,58.152805
Чебаркуль,Челябинская,обл,Уральский,0,43405,UTC+5,54.9818567,60.3773121
Челябинск,Челябинская,обл,Уральский,2,1130273,UTC+5,55.1602624,61.4008078
Южноуральск,Челябинская,обл,Уральский,0,37890,UTC+5,54.448927,61.2581158
Юрюзань,Челябинская,обл,Уральский,0,12568,UTC+5,54.854662,58.4226698
Аргун,Чеченская,Респ,Северо-Кавказский,0,29528,UTC+3,43.2916774,45.8723105
Грозный,Чеченская,Респ,Северо-Кавказский,2,271596,UTC+3,43.3180145,45.698291
Гудермес,Чеченская,Респ,Северо-Кавказский,1,45643,UTC+3,43.3519142,46.1035645
Курчалой,Чеченская,Респ,Северо-Кавказский,1,25672,UTC+3,43.2046547,46.0889364
,Чеченская,Респ,Северо-Кавказский,1,49071,UTC+3,43.120175,45.539276
Шали,Чеченская,Респ,Северо-Кавказский,1,47715,UTC+3,43.1488691,45.9009629
Алатырь,Чувашская Республика,Чувашия,Приволжский,0,38202,UTC+3,54.8397989,46.5721997
Канаш,Чувашская Республика,Чувашия,Приволжский,0,45608,UTC+3,55.507,47.4918273
Козловка,Чувашская Республика,Чувашия,Приволжский,1,10355,UTC+3,55.8406025,48.2577735
Мариинский Посад,Чувашская Республика,Чувашия,Приволжский,1,10186,UTC+3,56.111923,47.7142942
Новочебоксарск,Чувашская Республика,Чувашия,Приволжский,0,124094,UTC+3,56.1094977,47.4791113
Цивильск,Чувашская Республика,Чувашия,Приволжский,1,13478,UTC+3,55.8650213,47.4729349
Чебоксары,Чувашская Республика,Чувашия,Приволжский,2,447929,UTC+3,56.1438298,47.2489782
Шумерля,Чувашская Республика,Чувашия,Приволжский,0,33412,UTC+3,55.4962415,46.4182681
Ядрин,Чувашская Республика,Чувашия,Приволжский,1,9614,UTC+3,55.9406974,46.2020896
Анадырь,Чукотский,АО,Дальневосточный,2,13053,UTC+12,64.7313924,177.5015421
Билибино,Чукотский,АО,Дальневосточный,1,5504,UTC+12,68.0584191,166.4388172
Певек,Чукотский,АО,Дальневосточный,1,4161,UTC+12,69.7016661,170.2999022
Алдан,Саха /Якутия/,Респ,Дальневосточный,1,21277,UTC+9,58.6094283,125.3817188
Верхоянск,Саха /Якутия/,Респ,Дальневосточный,0,1311,UTC+10,67.5502451,133.390735
Вилюйск,Саха /Якутия/,Респ,Дальневосточный,1,10233,UTC+9,63.7517616,121.627284
Ленск,Саха /Якутия/,Респ,Дальневосточный,1,24955,UTC+9,60.7276196,114.9548255
Мирный,Саха /Якутия/,Респ,Дальневосточный,1,37179,UTC+9,62.536232,113.9667728
Нерюнгри,Саха /Якутия/,Респ,Дальневосточный,0,61746,UTC+9,56.6599953,124.7202403
Нюрба,Саха /Якутия/,Респ,Дальневосточный,1,10156,UTC+9,63.2828955,118.3242437
Олекминск,Саха /Якутия/,Респ,Дальневосточный,1,9487,UTC+9,60.3758006,120.4060878
Покровск,Саха /Якутия/,Респ,Дальневосточный,1,9495,UTC+9,61.4843503,129.1482392
Среднеколымск,Саха /Якутия/,Респ,Дальневосточный,1,3525,UTC+11,67.4582218,153.7069425
Томмот,Саха /Якутия/,Респ,Дальневосточный,0,8054,UTC+9,58.9586859,126.2875462
Удачный,Саха /Якутия/,Респ,Дальневосточный,0,12611,UTC+9,66.4071765,112.3061555
Якутск,Саха /Якутия/,Респ,Дальневосточный,2,269486,UTC+9,62.0281405,129.7325887
Губкинский,Ямало-Ненецкий,АО,Уральский,0,23340,UTC+5,64.4457594,76.4713274
Лабытнанги,Ямало-Ненецкий,АО,Уральский,0,26948,UTC+5,66.6592841,66.3883009
Муравленко,Ямало-Ненецкий,АО,Уральский,0,33401,UTC+5,63.7940552,74.4948635
Надым,Ямало-Ненецкий,АО,Уральский,0,46550,UTC+5,65.5377966,72.5182736
Новый Уренгой,Ямало-Ненецкий,АО,Уральский,0,104144,UTC+5,66.0839433,76.6809681
Ноябрьск,Ямало-Ненецкий,АО,Уральский,0,110572,UTC+5,63.2018039,75.4510581
Салехард,Ямало-Ненецкий,АО,Уральский,2,42494,UTC+5,66.5492077,66.6085318
Тарко-Сале,Ямало-Ненецкий,АО,Уральский,1,20372,UTC+5,64.9118803,77.7610236
Гаврилов-Ям,Ярославская,обл,Центральный,1,17792,UTC+3,57.3091058,39.8546444
Данилов,Ярославская,обл,Центральный,1,15861,UTC+3,58.1860098,40.1795067
Любим,Ярославская,обл,Центральный,1,5553,UTC+3,58.3620228,40.686841
Мышкин,Ярославская,обл,Центральный,1,5932,UTC+3,57.7881684,38.4544224
Переславль-Залесский,Ярославская,обл,Центральный,0,41923,UTC+3,56.7360544,38.8543617
Пошехонье,Ярославская,обл,Центральный,1,6085,UTC+3,58.5062879,39.1208434
Ростов,Ярославская,обл,Центральный,1,31791,UTC+3,57.2051315,39.4378622
Рыбинск,Ярославская,обл,Центральный,1,200771,UTC+3,58.0485495,38.8584119
Тутаев,Ярославская,обл,Центральный,1,41001,UTC+3,57.8674993,39.5369627
Углич,Ярославская,обл,Центральный,1,34505,UTC+3,57.5224249,38.3020044
Ярославль,Ярославская,обл,Центральный,2,591486,UTC+3,57.6215477,39.8977411
